"subject","visit","parentreport_age","parentreport_sesp14","parentreport_sesp14_label","parentreport_sesp4","parentreport_sesp5","visit_age","hispanic","race","race_label","race_recode","race_recode_labels","income_recode","income_recode_labels","high_edu","edu","edu_labels"
"NCANDA_S00033","baseline",16.73,9,"$100, 000 through $199, 999",3,7,16.73,"N",5,"Caucasian/White",4,"white",3,">100",3,2,"BA/BS"
"NCANDA_S00034","baseline",16.95,9,"$100, 000 through $199, 999",3,1,16.95,"N",5,"Caucasian/White",4,"white",3,">100",3,2,"BA/BS"
"NCANDA_S00042","baseline",NA,NA,"",NA,NA,18.04,"N",5,"Caucasian/White",4,"white",NA,NA,NA,NA,NA
"NCANDA_S00043","baseline",15.93,7,"$50, 000 through $74, 999",1,1,15.93,"N",5,"Caucasian/White",4,"white",2,">50<100",1,1,"High School/GED/AA"
"NCANDA_S00051","baseline",13.8,5,"$25, 000 through $34, 999",5,1,13.8,"N",5,"Caucasian/White",4,"white",1,"<50",5,3,"Post-Graduate Degree"
"NCANDA_S00052","baseline",13.73,7,"$50, 000 through $74, 999",3,1,13.73,"Y",5,"Caucasian/White",3,"hispanic",2,">50<100",3,2,"BA/BS"
"NCANDA_S00057","baseline",NA,NA,"",NA,NA,17.63,"Y",6,"Caucasian/White",3,"hispanic",NA,NA,NA,NA,NA
"NCANDA_S00059","baseline",14.53,10,"$200, 000 and greater",3,3,14.53,"N",5,"Caucasian/White",4,"white",3,">100",3,2,"BA/BS"
"NCANDA_S00060","baseline",14.51,4,"$16, 000 through $24, 999",4,NA,14.51,"N",2,"Asian",1,"asian",1,"<50",4,3,"Post-Graduate Degree"
"NCANDA_S00061","baseline",17.15,9,"$100, 000 through $199, 999",7,3,17.15,"N",4,"African-American/Black",2,"black",3,">100",3,2,"BA/BS"
"NCANDA_S00062","baseline",16.21,4,"$16, 000 through $24, 999",2,NA,16.21,"N",4,"African-American/Black",2,"black",1,"<50",2,1,"High School/GED/AA"
"NCANDA_S00067","baseline",15.53,8,"$75, 000 through $99, 999",3,1,15.53,"N",5,"Caucasian/White",4,"white",2,">50<100",3,2,"BA/BS"
"NCANDA_S00072","baseline",18.06,9,"$100, 000 through $199, 999",4,1,18.06,"N",5,"Caucasian/White",4,"white",3,">100",4,3,"Post-Graduate Degree"
"NCANDA_S00073","baseline",15.83,7,"$50, 000 through $74, 999",4,4,15.83,"N",5,"Caucasian/White",4,"white",2,">50<100",4,3,"Post-Graduate Degree"
"NCANDA_S00076","baseline",18.01,4,"$16, 000 through $24, 999",7,NA,18.01,"N",5,"Caucasian/White",4,"white",1,"<50",7,4,"Other/None"
"NCANDA_S00077","baseline",19.89,9,"$100, 000 through $199, 999",4,3,19.89,"N",5,"Caucasian/White",4,"white",3,">100",4,3,"Post-Graduate Degree"
"NCANDA_S00078","baseline",16.79,10,"$200, 000 and greater",3,3,16.79,"N",5,"Caucasian/White",4,"white",3,">100",3,2,"BA/BS"
"NCANDA_S00081","baseline",15.85,5,"$25, 000 through $34, 999",7,NA,15.85,"N",4,"African-American/Black",2,"black",1,"<50",7,4,"Other/None"
"NCANDA_S00082","baseline",15.26,10,"$200, 000 and greater",4,4,15.26,"N",5,"Caucasian/White",4,"white",3,">100",4,3,"Post-Graduate Degree"
"NCANDA_S00083","baseline",18.48,6,"$35, 000 through $49, 999",4,NA,18.48,"N",6,"African-American_Caucasian",5,"other",1,"<50",4,3,"Post-Graduate Degree"
"NCANDA_S00084","baseline",19.4,9,"$100, 000 through $199, 999",7,1,19.4,"N",4,"African-American/Black",2,"black",3,">100",1,1,"High School/GED/AA"
"NCANDA_S00086","baseline",16.78,7,"$50, 000 through $74, 999",3,3,16.78,"N",5,"Caucasian/White",4,"white",2,">50<100",3,2,"BA/BS"
"NCANDA_S00089","baseline",15.27,6,"$35, 000 through $49, 999",1,NA,15.27,"N",4,"African-American/Black",2,"black",1,"<50",1,1,"High School/GED/AA"
"NCANDA_S00090","baseline",16.83,8,"$75, 000 through $99, 999",1,3,16.83,"N",5,"Caucasian/White",4,"white",2,">50<100",3,2,"BA/BS"
"NCANDA_S00091","baseline",16.88,5,"$25, 000 through $34, 999",1,1,16.88,"N",4,"African-American/Black",2,"black",1,"<50",1,1,"High School/GED/AA"
"NCANDA_S00092","baseline",15.47,10,"$200, 000 and greater",3,3,15.47,"N",5,"Caucasian/White",4,"white",3,">100",3,2,"BA/BS"
"NCANDA_S00093","baseline",18.37,9,"$100, 000 through $199, 999",3,3,18.37,"N",5,"Caucasian/White",4,"white",3,">100",3,2,"BA/BS"
"NCANDA_S00094","baseline",19.2,9,"$100, 000 through $199, 999",1,1,19.2,"N",5,"Caucasian/White",4,"white",3,">100",1,1,"High School/GED/AA"
"NCANDA_S00095","baseline",19.86,NA,"",NA,NA,19.86,"N",2,"Asian",1,"asian",NA,NA,NA,NA,NA
"NCANDA_S00096","baseline",17.08,9,"$100, 000 through $199, 999",3,3,17.08,"N",5,"Caucasian/White",4,"white",3,">100",3,2,"BA/BS"
"NCANDA_S00097","baseline",20.53,9,"$100, 000 through $199, 999",4,4,20.53,"Y",5,"Caucasian/White",3,"hispanic",3,">100",4,3,"Post-Graduate Degree"
"NCANDA_S00098","baseline",20.43,NA,"",NA,NA,20.43,"N",2,"Asian",1,"asian",NA,NA,NA,NA,NA
"NCANDA_S00099","baseline",13.76,4,"$16, 000 through $24, 999",2,1,13.76,"N",4,"African-American/Black",2,"black",1,"<50",2,1,"High School/GED/AA"
"NCANDA_S00104","baseline",NA,NA,"",NA,NA,16.58,"Y",6,"Caucasian/White",3,"hispanic",NA,NA,NA,NA,NA
"NCANDA_S00105","baseline",15.3,10,"$200, 000 and greater",4,6,15.3,"N",5,"Caucasian/White",4,"white",3,">100",6,3,"Post-Graduate Degree"
"NCANDA_S00106","baseline",17.6,10,"$200, 000 and greater",4,4,17.6,"N",2,"Asian",1,"asian",3,">100",4,3,"Post-Graduate Degree"
"NCANDA_S00107","baseline",17.2,8,"$75, 000 through $99, 999",6,NA,17.2,"N",2,"Asian",1,"asian",2,">50<100",6,3,"Post-Graduate Degree"
"NCANDA_S00108","baseline",19.87,9,"$100, 000 through $199, 999",7,3,19.87,"Y",5,"Caucasian/White",3,"hispanic",3,">100",3,2,"BA/BS"
"NCANDA_S00109","baseline",12.46,9,"$100, 000 through $199, 999",4,3,12.46,"N",5,"Caucasian/White",4,"white",3,">100",4,3,"Post-Graduate Degree"
"NCANDA_S00112","baseline",12.41,9,"$100, 000 through $199, 999",4,4,12.41,"N",5,"Caucasian/White",4,"white",3,">100",4,3,"Post-Graduate Degree"
"NCANDA_S00114","baseline",16.69,9,"$100, 000 through $199, 999",1,3,16.69,"N",5,"Caucasian/White",4,"white",3,">100",3,2,"BA/BS"
"NCANDA_S00115","baseline",17.31,9,"$100, 000 through $199, 999",2,1,17.31,"N",5,"Caucasian/White",4,"white",3,">100",2,1,"High School/GED/AA"
"NCANDA_S00116","baseline",17.36,9,"$100, 000 through $199, 999",4,3,17.36,"N",5,"Caucasian/White",4,"white",3,">100",4,3,"Post-Graduate Degree"
"NCANDA_S00117","baseline",20.11,NA,"",NA,NA,20.11,"N",5,"Caucasian/White",4,"white",NA,NA,NA,NA,NA
"NCANDA_S00118","baseline",14.41,7,"$50, 000 through $74, 999",3,3,14.41,"N",5,"Caucasian/White",4,"white",2,">50<100",3,2,"BA/BS"
"NCANDA_S00119","baseline",14.92,9,"$100, 000 through $199, 999",3,3,14.92,"N",5,"Caucasian/White",4,"white",3,">100",3,2,"BA/BS"
"NCANDA_S00121","baseline",15.04,7,"$50, 000 through $74, 999",7,3,15.04,"N",5,"Caucasian/White",4,"white",2,">50<100",3,2,"BA/BS"
"NCANDA_S00122","baseline",12.22,4,"$16, 000 through $24, 999",3,NA,12.22,"N",4,"African-American/Black",2,"black",1,"<50",3,2,"BA/BS"
"NCANDA_S00123","baseline",21.41,NA,"",NA,NA,21.41,"N",5,"Caucasian/White",4,"white",NA,NA,NA,NA,NA
"NCANDA_S00125","baseline",15.03,10,"$200, 000 and greater",4,6,15.03,"N",5,"Caucasian/White",4,"white",3,">100",6,3,"Post-Graduate Degree"
"NCANDA_S00126","baseline",17.25,10,"$200, 000 and greater",4,6,17.25,"N",5,"Caucasian/White",4,"white",3,">100",6,3,"Post-Graduate Degree"
"NCANDA_S00128","baseline",19.21,9,"$100, 000 through $199, 999",7,3,19.21,"N",5,"Caucasian/White",4,"white",3,">100",3,2,"BA/BS"
"NCANDA_S00129","baseline",15.04,9,"$100, 000 through $199, 999",5,4,15.04,"N",5,"Caucasian/White",4,"white",3,">100",5,3,"Post-Graduate Degree"
"NCANDA_S00130","baseline",17.28,10,"$200, 000 and greater",3,7,17.28,"N",2,"Asian",1,"asian",3,">100",3,2,"BA/BS"
